sentiment_bucket,coin,trades,accounts,volume_usd,gross_closed_pnl,fees,net_pnl,avg_net_pnl,median_net_pnl,win_rate,avg_pnl_per_1000_usd,realized_trades,avg_size_usd,avg_start_position_abs,net_pnl_per_trade,fee_share_of_gross_abs_pnl
Extreme Greed,@107,10403,23,20452573.55,1988618.873872,1763.01618093,1986855.85769107,190.98873956465155,0.441802,0.5616649043545131,131.25213271146552,6341,1966.026487551668,24742.966280521483,190.98873956465155,0.0008865530766573016
Fear,HYPE,27951,18,63327528.27,840306.353176,11334.708909,828971.644267,29.65803170788165,-0.007242,0.434331508711674,12.289231925096011,13537,2265.6623473220993,54245.38135200887,29.65803170788165,0.01348878164036203
Fear,SOL,3914,15,51824505.65,741594.285928,11549.991673,730044.294255,186.52128110756257,-0.02221,0.5002554931016863,17.547389798006318,2061,13240.803691875319,3916.497695452223,186.52128110756257,0.015574542431306392
Greed,@107,8398,17,16923981.98,724342.30586,1596.56603756,722745.73982244,86.06165037180757,-0.0005,0.45891879018814,59.828372068056325,5038,2015.2395784710645,15582.561048392732,86.06165037180757,0.0022041595867639168
Fear,ETH,2850,13,39635351.1,675064.576785,6163.713256,668900.863529,234.7020573785965,-0.0327,0.4168421052631579,17.91398314047354,1428,13907.140736842106,356.6637334736842,234.7020573785965,0.009130553532159441
Extreme Fear,HYPE,10278,15,29253178.69,482083.808909,4136.353762,477947.45514700003,46.50199018748784,0.0,0.39686709476551857,13.975453599414818,4761,2846.1936845689825,46435.24535804631,46.50199018748784,0.008580154914061413
Greed,SOL,1586,10,22849528.78,451690.01397699997,4909.245028,446780.768949,281.7028808001261,-0.12103900000000001,0.28688524590163933,16.904310998114585,507,14407.016885245903,9642.65630517024,281.7028808001261,0.010868615369145572
Fear,BTC,9870,17,300912163.3,482649.644056,57718.829772,424930.814284,43.05276740466059,-0.001426,0.38551165146909827,2.001150592478769,4342,30487.554539007095,21.14028849442756,43.05276740466059,0.1195874284438571
Greed,ETH,3574,14,37325288.1,351036.01291399996,8068.980316,342967.032598,95.96167672020147,-0.14398450000000002,0.25937325125909344,6.635958581072725,1557,10443.561303861221,128.31107255176272,95.96167672020147,0.022986189505225532
Neutral,SOL,1400,12,16118744.79,303376.19465,3847.771386,299528.423264,213.94887376,0.241695,0.5214285714285715,39.1147989356999,810,11513.389135714286,8776.509307142856,213.94887376,0.012683168468241579
Neutral,HYPE,17324,12,27570986.89,300100.241102,5773.017698,294327.223404,16.989564962133457,-0.009524,0.41301085199722926,8.312681619896082,8538,1591.490815631494,19106.453413761257,16.989564962133457,0.019236964544916274
Extreme Fear,ETH,1393,12,7720053.08,274320.23069,1378.460391,272941.770299,195.93809784565687,0.837377,0.5570710696338838,14.410032079271277,784,5542.033797559225,282.63834005743,195.93809784565687,0.005025004490309544
Neutral,@107,4210,14,7717676.43,219551.950858,1048.29730258,218503.65355542,51.90110535758195,-0.001199955,0.4009501187648456,26.80434981266533,1932,1833.177299287411,5094.476318357216,51.90110535758195,0.004774711855136323
Fear,MELANIA,1985,6,3477530.64,196849.124287,362.442808,196486.681479,98.98573374256927,-0.018912,0.2982367758186398,71.5994770789536,595,1751.904604534005,525238.8995969774,98.98573374256927,0.0018412213379805007
Greed,HYPE,6769,9,11751723.2,166307.640065,2476.147706,163831.492359,24.20320466228394,-0.030022,0.3715467572758162,9.057136270635919,2770,1736.109203722854,4292.1489747377755,24.20320466228394,0.014888959431041278
Fear,ENA,193,3,347628.23,160316.233716,70.685175,160245.548541,830.2878162746114,-0.001783,0.47668393782383417,264.18296288483003,94,1801.1825388601035,186945.4404145078,830.2878162746114,0.00044091090067159826
Extreme Greed,HYPE,5683,11,10086789.0,159686.556509,1641.702365,158044.854144,27.81010982650009,-0.014108,0.41052261129685025,12.513406582409086,2405,1774.9056836178074,5383.717858525427,27.81010982650009,0.010280780053688947
Neutral,BTC,4753,17,98386717.32,165980.345627,21399.896727,144580.4489,30.418777382705656,-0.028737,0.3288449400378708,1.0506715919176277,1812,20699.919486640014,10.108569579213128,30.418777382705656,0.12893030585133858
Greed,ZRO,1152,3,885934.05,143815.507053,151.757156,143663.749897,124.70811623003472,-0.099577,0.3324652777777778,63.765774928924756,720,769.0399739583333,25684.12126736111,124.70811623003472,0.0010552210892256096
Neutral,DOGE,39,3,298882.07,115809.466287,103.245228,115706.221059,2966.826181,-0.126409,0.41025641025641024,249.14605913952698,16,7663.64282051282,236323.33333333334,2966.826181,0.0008915094016937855
Greed,SUI,880,5,4158513.0,101637.557765,1127.54489,100510.012875,114.21592372159091,-0.065757,0.3352272727272727,19.54808280422763,305,4725.582954545454,42407.72375,114.21592372159091,0.011093781814465067
Extreme Fear,SOL,1878,10,26241359.78,105179.504312,6070.595642,99108.90867,52.77364678913738,-0.25383100000000003,0.31203407880724177,2.122131647286346,863,13973.03502662407,4893.879483493078,52.77364678913738,0.05771652644409165
Extreme Fear,MELANIA,446,5,862551.92,97379.167198,127.55147699999999,97251.61572100001,218.05295004708523,76.17788,0.7847533632286996,170.98651067325872,350,1933.9729147982064,265546.4504484305,218.05295004708523,0.0013098435802049013
Extreme Greed,BTC,2436,10,43881928.84,100882.711093,13082.767364,87799.943729,36.04266983949097,-0.322296,0.3399014778325123,1.878554344203972,979,18013.928095238098,1.6752756198686372,36.04266983949097,0.12968294787339216
Greed,BERA,412,3,545933.81,83243.565498,57.282634,83186.282864,201.90845355339803,29.213399,0.8810679611650486,134.64408226951502,363,1325.0820631067963,11499.870873786407,201.90845355339803,0.0006881328743826605
Greed,BTC,7240,20,164299783.9,115475.191549,37353.360922,78121.830627,10.790308097651934,-0.06805300000000003,0.332182320441989,0.11661515820912963,3209,22693.34031767956,15.37743945994475,10.790308097651934,0.323475202083988
Extreme Greed,PURR/USDC,1480,8,645545.6,77506.588413,468.530004,77038.058409,52.05274216824325,-0.012765,0.47094594594594597,121.12038512960528,713,436.17945945945945,60724.162252763505,52.05274216824325,0.006045034539559408
Greed,MELANIA,1231,1,1468082.55,73550.500324,256.222121,73294.278203,59.540437207961006,4.050333,0.6904955320877335,46.713473794222566,1017,1192.5934606011374,814771.8250203087,59.540437207961006,0.003483621727538312
Neutral,ETH,1317,13,17590391.62,61574.088597999995,3694.560932,57879.527666,43.94800885801063,0.0,0.4616552771450266,4.657105237265216,746,13356.409734244497,436.6329458618072,43.94800885801063,0.06000187767488943
Fear,USUAL,94,3,154681.7,45893.103342,29.672382,45863.43096,487.90884,0.7478469999999999,0.5319148936170213,240.97096725396767,92,1645.5500000000002,63693.90531914893,487.90884,0.0006465542715400707
Extreme Fear,SUI,249,2,1318482.11,44788.991651,339.70478199999997,44449.286868999996,178.5111922449799,21.970995000000002,0.6104417670682731,28.638538723020883,161,5295.108875502008,47521.858634538155,178.5111922449799,0.00758455972054498
