sentiment_bucket,direction,trades,accounts,volume_usd,gross_closed_pnl,fees,net_pnl,avg_net_pnl,median_net_pnl,win_rate,avg_pnl_per_1000_usd,realized_trades,avg_size_usd,avg_start_position_abs,net_pnl_per_trade,fee_share_of_gross_abs_pnl
Extreme Fear,Buy,807,10,1194368.16,0.0,227.7943223869,-227.7943223869,-0.2822730141101611,-0.01119,0.0,-0.5714558566338426,0,1480.0101115241634,60628.38755941689,-0.2822730141101611,inf
Extreme Fear,Close Long,6241,24,42635958.85,506752.789816,9341.87964,497410.91017600003,79.70051436885115,12.174579,0.8464989585002404,16.84635713873814,6241,6831.590906905944,36438.42391287614,79.70051436885115,0.018434786798888665
Extreme Fear,Close Short,3117,22,12393421.55,384638.543343,2489.187792,382149.355551,122.6016540105871,2.628979,0.7058068655758742,26.958777304750292,3117,3976.073644529997,172313.65735888356,122.6016540105871,0.006471498592849745
Extreme Fear,Long > Short,5,3,4261.54,6.659778,0.5890880000000001,6.070690000000001,1.2141380000000002,-0.008605000000000002,1.0,1.0286712566875895,5,852.308,76.464,1.2141380000000002,0.08845460013832293
Extreme Fear,Open Long,7005,26,42461713.38,0.0,8394.270155,-8394.270155,-1.1983255039257674,-0.084068,0.0,-0.1645151627143484,0,6061.629319057816,45209.22812499929,-1.1983255039257674,inf
Extreme Fear,Open Short,3174,23,13932592.87,0.0,3036.31184,-3036.31184,-0.9566199873976055,-0.1000595,0.0,-0.19568962974241755,0,4389.600778197857,36730.44183932262,-0.9566199873976055,inf
Extreme Fear,Sell,1042,10,1470417.82,-140692.642805,353.993018,-141046.635823,-135.36145472456812,-1.7717770000000002,0.42034548944337813,-95.34963154382602,1037,1411.1495393474088,10525.517620726672,-135.36145472456812,0.002516073413239058
Extreme Fear,Short > Long,6,3,391526.58,-11595.101642000001,44.608084,-11639.709726000003,-1939.9516210000004,62.1669285,0.8333333333333334,54.52160699400372,6,65254.43,1858.8215166666669,-1939.9516210000004,0.003847149027001172
Extreme Fear,Spot Dust Conversion,3,2,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22999999999999998,0.015448826666666667,0.0,
Fear,Buy,3207,15,5245263.2,0.0,1476.2693321548,-1476.2693321548,-0.460327200547178,-0.0103,0.0,-5.539469040764493,0,1635.5669473027751,64237.02841130887,-0.460327200547178,inf
Fear,Close Long,17260,29,159250581.29,1432581.917537,30006.736099,1402575.181438,81.26159799756662,6.48501,0.8988991888760139,18.80416586874332,17260,9226.569020278099,91544.51941675898,81.26159799756662,0.0209459129224455
